No.,Expression,Reading,Meaning
8391,作り,つくり,"make up, structure, physique"
8392,造り,つくり,"make up, structure, physique"
8393,繕う,つくろう,"to mend, to repair"
8394,付け加える,つけくわえる,to add one thing to another
8395,告げる,つげる,to inform
8396,つじつま (はなしの～),つじつま (はなしの～),"coherence, consistency"
8397,筒,つつ,"pipe, tube"
8398,突く,つつく,"to thrust, to strike, to attack; to poke, to nudge, to pick at"
8399,突っ突く,つっつく,to prompt someone
8400,謹む,つつしむ,"to be careful, to be chaste or discreet"
8401,突っ張る,つっぱる,"to support, to become stiff; to thrust (ones opponent), to stick to (ones opinion), to insist on"
8402,務まる,つとまる,"be equal, be fit"
8403,勤め先,つとめさき,place of work
8404,努めて,つとめて,"make an effort!, work hard!"
8405,津波,つなみ,"tsunami, tidal wave"
8406,つねる,つねる,to pinch
8407,角,つの,horn
8408,募る,つのる,"to invite, to solicit help, participation, etc"
8409,唾,つば,"saliva, spit, sputum"
8410,呟く,つぶやく,"to mutter, to murmur"
8411,つぶら,つぶら,"round, rotund"
8412,つぶる (めを～),つぶる (めを～),to close the eyes
8413,壷,つぼ,"jar, pot, vase"
8414,蕾,つぼみ,"bud, flower bud"
8415,連なる,つらなる,"to extend, to stretch out, to stand in a row"
8416,貫く,つらぬく,to go through
8417,連ねる,つらねる,"to link, to join, to put together"
8418,釣り鐘,つりがね,temple bell (for striking)
8419,吊り革,つりかわ,strap
8420,手当,てあて,"allowance, compensation; treatment"
8421,定義,ていぎ,definition
8422,提供,ていきょう,"offer, program sponsoring"
8423,提携,ていけい,"cooperation, tie-up, joint business"
8424,体裁,ていさい,"decency, style, form, appearance"
8425,提示,ていじ,"presentation, exhibit, suggest, citation"
8426,ティシュペーパー,ティシュペーパー,tissue
8427,定食,ていしょく,"fixed-price lunch, set meal, dinner"
8428,訂正,ていせい,"correction, revision"
8429,停滞,ていたい,"stagnation, tie-up, congestion, retention"
8430,邸宅,ていたく,"mansion, residence"
8431,定年,ていねん,retirement age
8432,堤防,ていぼう,"bank, weir"
8433,手遅れ,ておくれ,being (too); belated treatment
8434,でかい,でかい,huge
8435,手掛かり,てがかり,"hint, clue, key"
8436,手掛ける,てがける,"to handle, to manage, to work with"
8437,手数,てかず,"trouble, labor, handling"
8438,手軽,てがる,"easy, simple, cheap"
8439,適応,てきおう,"adaptation, accommodation, conformity"
8440,適宜,てきぎ,suitability
8441,適性,てきせい,aptitude
8442,できもの,できもの,"boil, rash"
8443,手際,てぎわ,"performance, skill, tact"
8444,出くわす,でくわす,"to happen to meet, to come across"
8445,手順,てじゅん,"process, procedure, protocol"
8446,手錠,てじょう,"handcuffs, manacles"
8447,手数,てすう,"trouble, labor, handling"
8448,デコレーション,デコレーション,decoration
8449,手近,てぢか,"near, handy, familiar"
8450,てっきり,てっきり,"surely, certainly, beyond doubt"
8451,鉄鋼,てっこう,iron and steel
8452,デッサン,デッサン,rough sketch (FRE: dessin)
8453,徹する,てっする,"to devote oneself, to believe in"
8454,てっぺん,てっぺん,"top, summit, apex"
8455,鉄棒,てつぼう,"iron rod, crowbar, horizontal bar (gymnastics)"
8456,出直し,でなおし,"adjustment, touch up"
8457,掌,てのひら,the palm
8458,手配,てはい,"arrangement, search (by police)"
8459,手筈,てはず,"arrangement, plan, program"
8460,手引,てびき,"guidance, guide, introduction"
8461,手本,てほん,"model, pattern"
8462,手回し,てまわし,"preparations, arrangements"
8463,手元,てもと,"(money) on hand or at home, one's purse; usual skill"
8464,デモンストレーション,デモンストレーション,demonstration
8465,照り返す,てりかえす,"to reflect, to throw back light"
8466,テレックス,テレックス,"telex, teletypewriter exchange"
8467,手分け,てわけ,division of labor
8468,天,てん,"heaven, sky"
8469,田園,でんえん,"country, rural districts"
8470,天下,てんか,"the world, whole country"
8471,転回,てんかい,"revolution, rotation"
8472,連休,れんきゅう,consecutive holidays
8473,レンジ,レンジ,"range, stove"
8474,連日,れんじつ,every day
8475,連帯,れんたい,solidarity
8476,レンタカー,レンタカー,rented car
8477,連中,れんちゅう,"colleagues, company, a lot"
8478,レントゲン,レントゲン,X-ray (lit: Roentgen)
8479,連邦,れんぽう,"commonwealth, federation of states"
8480,連盟,れんめい,"league, union, alliance"
8481,老衰,ろうすい,"senility, senile decay"
8482,朗読,ろうどく,"reading aloud, recitation"
8483,浪費,ろうひ,"waste, extravagance"
8484,労力,ろうりょく,"labor, effort, trouble"
8485,ロープウエイ,ロープウエイ,"ropeway, aerial tram"
8486,ロープ,ロープ,rope
8487,ろくな,ろくな,"satisfactory, decent"
8488,露骨,ろこつ,"blunt, outspoken; conspicuous; broad, suggestive"
8489,ロマンチック,ロマンチック,romantic
8490,論議,ろんぎ,discussion
8491,論理,ろんり,logic
8492,惑星,わくせい,planet
8493,技,わざ,"art, technique"
8494,わざわざ,わざわざ,"take the trouble (to do), doing something especially rather than incidentally"
8495,煩わしい,わずらわしい,"burdensome, troublesome, complicated"
8496,渡り鳥,わたりどり,"migratory bird, bird of passage"
8497,ワット,ワット,watt
8498,詫び,わび,apology
8499,和文,わぶん,"Japanese text, sentence in Japanese"
8500,藁,わら,straw
8501,～割,～わり,~ percent
8502,割当,わりあて,"allotment, allocation, quota"
8503,割込む,わりこむ,"to cut in, to disturb"
8504,悪者,わるもの,"bad fellow, rascal"
8505,我,われ,"me, oneself, self, ego"
8506,捗る,はかどる,"to make progress, to move right ahead (with the work), to advance"
8507,はかない,はかない,"short-lived, momentary, ephemeral"
8508,ばかばかしい,ばかばかしい,stupid
8509,破棄,はき,"revocation, annulment, breaking (e.g., treaty)"
8510,剥ぐ,はぐ,"to tear off, to peel off, to rip off"
8511,迫害,はくがい,persecution
8512,薄弱,はくじゃく,"feebleness, weakness, weak"
8513,白状,はくじょう,confession
8514,漠然,ばくぜん,"obscure, vague, equivocal"
8515,爆弾,ばくだん,bomb
8516,爆破,ばくは,"blast, explosion, blow up"
8517,暴露,ばくろ,"disclosure, exposure, revelation"
8518,励ます,はげます,"to encourage, to cheer, to raise (the voice)"
8519,励む,はげむ,"to be zealous, to make an effort"
8520,剥げる,はげる,"to come off, to be worn off, to fade, to discolor"
8521,化ける,ばける,"to disguise, to take the form of"
8522,派遣,はけん,"dispatch, send"
8523,恥,はじ,"shame, embarrassment"
8524,弾く,はじく,"to play (piano, guitar)"
8525,パジャマ,パジャマ,pajamas
8526,恥じらう,はじらう,"to feel shy, to be bashful, to blush"
8527,恥じる,はじる,to feel ashamed
8528,橋渡し,はしわたし,"bridge building', mediation"
8529,弾む,はずむ,"to bounce, to be encouraged, to splurge on"
8530,破損,はそん,damage
8531,叩く,はたく,"to strike, to clap, to dust, to beat"
8532,裸足,はだし,barefoot
8533,果たす,はたす,"to accomplish, to fulfill, to carry out, to achieve"
8534,蜂蜜,はちみつ,honey
8535,パチンコ,パチンコ,pachinko (Japanese pinball)
8536,罰,ばつ,"punishment, penalty"
8537,発育,はついく,"(physical) growth, development"
8538,発芽,はつが,germination
8539,発掘,はっくつ,"excavation, exhumation; discovery (e.g., new talent)"
8540,発言,はつげん,"utterance, speech, proposal"
8541,バッジ,バッジ,badge
8542,発生,はっせい,"outbreak, spring forth, occurrence"
8543,仕立てる,したてる,"to tailor, to make, to prepare"
8544,下取り,したどり,"trade in, part exchange"
8545,下火,したび,"burning low, waning, declining"
8546,実,じつ,"fruit, good result"
8547,実家,じっか,(one's parents') home
8548,失格,しっかく,"disqualification, elimination, incapacity (legal)"
8549,質疑,しつぎ,question
8550,失脚,しっきゃく,"losing one's standing, being overthrown, falling"
8551,実業家,じつぎょうか,"industrialist, businessman"
8552,シック,シック,chic
8553,じっくり,じっくり,"deliberately, carefully"
8554,躾,しつけ,"discipline, training"
8555,躾ける,しつける,"to discipline, to teach manners"
8556,実践,じっせん,"practice, put into practice"
8557,質素,しっそ,"simplicity, modesty, frugality"
8558,実態,じったい,"truth, fact"
8559,失調,しっちょう,"lack of harmony, imbalance"
8560,嫉妬,しっと,jealousy
8561,実費,じっぴ,"actual expense, cost price"
8562,指摘,してき,"pointing out, identification"
8563,自転,じてん,"rotation, spin"
8564,助動詞,じょどうし,auxiliary verb
8565,淑やか,しとやか,graceful
8566,萎びる,しなびる,"to shrivel, to fade"
8567,シナリオ,シナリオ,scenario
8568,しなやか,しなやか,"supple, flexible, elastic"
8569,屎尿,しにょう,human waste
8570,地主,じぬし,landlord
8571,凌ぐ,しのぐ,"to outdo, to surpass; to endure"
8572,芝,しば,lawn
8573,始発,しはつ,first train
8574,耳鼻科,じびか,otolaryngology
8575,私物,しぶつ,"private property, personal effects"
8576,しぶとい,しぶとい,"tenacious, stubborn"
8577,司法,しほう,administration of justice
8578,始末,しまつ,disposal; cleaning up afterwards
8579,染みる,しみる,to soak; pierce
8580,使命,しめい,"mission, errand, message"
8581,地元,じもと,local
8582,視野,しや,"field of vision, outlook"
8583,弱,じゃく,"delicate, supple"
8584,社交,しゃこう,social life
8585,ジャズ,ジャズ,jazz
8586,謝絶,しゃぜつ,refusal
8587,社宅,しゃたく,company owned house
8588,若干,じゃっかん,"some, few, number of"
8589,三味線,しゃみせん,three-stringed Japanese guitar
8590,斜面,しゃめん,"slope, slanting surface, bevel"
8591,砂利,じゃり,"gravel, ballast, pebbles"
8592,洒落る,しゃれる,"to joke, to play on words; stylish"
8593,ジャンパー,ジャンパー,"jacket, jumper"
8594,ジャンプ,ジャンプ,jump
8595,ジャンボ,ジャンボ,jumbo
8596,ジャンル,ジャンル,genre
8597,主,しゅ,"owner, master, god"
8598,種,しゅ,seed; variety
8599,私有,しゆう,private ownership
8600,～宗,～しゅう,sect
8601,収益,しゅうえき,"earnings, proceeds, returns"
8602,修学,しゅうがく,learning
8603,周期,しゅうき,"cycle, period"
8604,衆議院,しゅうぎいん,"Lower House, House of Representatives"
8605,就業,しゅうぎょう,"employment, starting work"
8606,従業員,じゅうぎょういん,"employee, worker"
8607,集計,しゅうけい,"totalization, aggregate"
8608,襲撃,しゅうげき,"attack, charge, raid"
8609,収支,しゅうし,income and expenditure
8610,終始,しゅうし,from beginning to end; consistent(ly)
8611,修士,しゅうし,Masters degree program
8612,従事,じゅうじ,"engaging, pursuing, following"
8613,終日,しゅうじつ,all day
8614,充実,じゅうじつ,"fullness, perfection"
8615,収集,しゅうしゅう,"gathering up, collection"
8616,十字路,じゅうじろ,crossroads
8617,執着,しゅうじゃく,"attachment, adhesion, tenacity"
8618,執着,しゅうちゃく,"attachment, adhesion, tenacity"
8619,柔軟,じゅうなん,flexible
8620,重複,じゅうふく,"duplication, repetition, overlapping"
8621,収容,しゅうよう,accommodation; seating; custody
8622,従来,じゅうらい,"up to now, so far, traditional"
8623,守衛,しゅえい,"security guard, doorkeeper"
8624,主演,しゅえん,"starring, playing the leading part"
8625,主観,しゅかん,"subjectivity, subject, ego"
8626,修行,しゅぎょう,"pursuit of knowledge, training, ascetic practice"
8627,塾,じゅく,after-school (cram) school
8628,祝賀,しゅくが,"celebration, congratulations"
8629,宿命,しゅくめい,"fate, destiny, predestination"
8630,手芸,しゅげい,handicrafts
8631,主権,しゅけん,sovereignty
8632,主催,しゅさい,"organization, sponsorship, to host"
8633,取材,しゅざい,"coverage, collecting data"
8634,趣旨,しゅし,"object, meaning"
8635,種々,しゅじゅ,variety
8636,主食,しゅしょく,staple food
8637,主人公,しゅじんこう,protagonist
8638,主体,しゅたい,"subject, main constituent"
