Expression,Meaning
擦れる,"to rub, to chafe"
すんなり,"pass with no objection, slim, slender"
生育,"growth, development, breeding"
成育,"growth, raising"
成果,"results, fruits"
正解,"correct, right answer, solution"
正義,"justice, right, righteousness"
生計,"livelihood, living"
政権,"(political) administration, political power"
星座,constellation
制裁,"restraint, sanctions, punishment"
政策,"political measures, policy"
生死,life and death
静止,"stillness, repose, standing still"
誠実,"sincere, honest, faithful"
成熟,"maturity, ripeness"
青春,"youth, springtime of life, adolescent"
清純,"purity, innocence"
聖書,Bible
正常,"normalcy, normality, normal"
制する,"to control, to command"
整然,"orderly, regular, well-organized"
盛装,"be dressed up, wear rich clothes"
盛大,"grand, prosperous, magnificent"
清濁,"good and evil, purity and impurity"
制定,"enactment, establishment, creation"
静的,static
製鉄,iron manufacture
晴天,fine weather
正当,"just, due, proper"
制服,uniform
征服,"conquest, subjugation, overcoming"
製法,"manufacturing method, recipe, formula"
精密,"precise, exact, detailed, minute"
税務署,tax office
制約,"limitation, constraints"
勢力,"influence, power, might, strength"
整列,"stand in a row, form a line"
セール,sale
急かす,"to hurry, to urge on"
伜,"son, my son"
責務,"duty, obligation"
セクション,section
世辞,"flattery, compliment"
世帯,household
是正,"correction, revision"
世代,generation
切開,"opening up, cutting through"
セックス,sex
切実,"compelling, serious, severe, acute"
接触,"touch, contact"
接続詞,conjunction
設置,"establishment, institution"
折衷,"compromise, cross, blending, eclecticism"
設定,"establishment, creation"
説得,persuasion
切ない,"painful, trying, sad"
絶版,out of print
設立,"establishment, foundation, institution"
攻め,"attack, offense"
ゼリー,jelly
セレモニー,ceremony
世論,public opinion
先,"priority, precedence, previous"
繊維,"fiber, fiber, textile"
全快,complete recovery of health
宣教,religious mission
宣言,"declaration, proclamation, announcement"
戦災,war damage
専修,specialization
戦術,tactics
センス,"sense (for music, style, tact, etc.)"
潜水,diving
全盛,height of prosperity
先代,"family predecessor, previous age, previous generation"
先だって,"recently, the other day"
先着,first arrival
前提,"preamble, premise, prerequisite"
先天的,"inherent, congenital, hereditary"
前途,"future prospects, outlook, the journey ahead"
戦闘,"battle, fight, combat"
潜入,"infiltration, sneaking in"
船舶,ship
全滅,annihilation
専用,"exclusive use, personal use"
占領,"occupation, possession, have a room to oneself"
善良,"goodness, excellence, virtue"
戦力,war potential
前例,precedent
相応,"suitability, fitness"
総会,general meeting
創刊,"launching (e.g., newspaper, first issue)"
雑木,"various kinds of small trees, assorted trees"
早急,urgent
早急,urgent
増強,"reinforce, increase"
送金,"remittance, sending money"
走行,"running a wheeled vehicle (e.g., car, traveling)"
総合,"synthesis, generalization"
捜索,"search (esp. for someone or something missing, investigation)"
蔵相,Minister of Finance
装飾,ornament
増進,"promoting, increase, advance"
相対,relative
壮大,"magnificent, grand, majestic"
騒動,"strife, riot, rebellion"
遭難,"disaster, shipwreck, accident"
相場,"market price, speculation, estimation"
装備,equipment
創立,"establishment, founding"
添える,"to add to, to attach, to accompany"
ソース,source
即座に,"immediately, right away"
促進,"promotion, acceleration, encouragement"
即する,"to conform to, to agree with, to be adapted to,"
束縛,"restraint, restriction, confinement"
側面,"side, sidelight, lateral"
損う,"to harm, to hurt"
そこら,"everywhere, somewhere"
素材,"raw materials, subject matter"
阻止,"obstruction, check, hindrance"
訴訟,"litigation, lawsuit"
育ち,"breeding, growth"
措置,"measure, step"
ソックス,socks
素っ気無い,"cold, short, curt, blunt"
外方,look (or turn) the other way
備え付ける,"to provide, to equip, to install"
備わる,to be furnished with
具わる,to be furnished with
聳える,"to rise, to tower, to soar"
素朴,"simplicity, artlessness, naivety"
背く,"to run counter to, to go against"
染まる,to be dyed
染める,"to dye, to color"
そらす,"to bend, to warp"
そり (～にのる),"sleigh, sled"
反る,"to warp, to be warped, to curve"
それゆえ,"therefore, for that reason, so"
ソロ,solo
揃い,"set, suit, uniform"
ぞんざい,"rude, careless, slovenly"
損失,loss
存続,"duration, continuance"
ダース,dozen
対応,dealing with
大家,"rich family, distinguished family"
退化,"degeneration, retrogression"
大概,"in general, mainly"
体格,"physique, constitution"
大金,large amount of money
待遇,"treatment, reception"
対決,"confrontation, showdown"
体験,personal experience
対抗,"opposition, antagonism"
退治,extermination
大衆,general public
対処,"deal with, cope"
退職,retirement (from office)
題する,to title
態勢,"attitude, conditions, tendency"
対談,"talk, dialogue"
大胆,"bold, daring, audacious"
対等,equivalent
台無し,"mess, spoiled, (come to) nothing"
滞納,"non-payment, default"
対比,"contrast, comparison"
タイピスト,typist
大部,"most (e.g., most part, greater, fairly, a good deal, much)"
大便,feces
代弁,speak for another
待望,"long-expected, waiting"
台本,"libretto, scenario"
タイマー,timer
怠慢,"negligence, carelessness"
タイミング,timing
タイム,time
タイムリー,"timely, run-batted-in (baseball), RBI"
対面,"interview, meeting"
代用,substitution
体力,physical strength
タイル,tile
対話,"conversation, dialogue"
耐える,"to endure, to put up with"
堪える,"to endure, to put up with"
絶える,"to die out, to become extinct"
断える,"to cease, to become extinct"
打開,"solution, breakthrough"
焚火,(open) fire
妥協,"compromise, giving in"
たくましい,"burly, strong, sturdy"
巧み,"skill, cleverness"
丈,"length, height"
打撃,"blow, damage; batting (baseball)"
妥結,agreement
駄作,poor work
足し算,addition
多数決,majority rule
助け,assistance
携わる,"to engage, to involve"
漂う,"to drift about, to float, to hang in air"
立ち去る,"to leave, to depart"
立ち寄る,"to stop by, to drop in for a short visit"
抱っこ,(child's) hug
達者,"skillful, in good health"
脱出,escape
脱する,"to escape from, to get out"
達成,achievement
脱退,"secession, withdrawal"
だったら,if it's the case
立て替える,"to pay in advance, to pay for another"
建前,position; stance one takes in public; principle
奉る,"to offer, to do respectfully"
だと,if it's the case
他動詞,transitive verb (direct object)
辿り着く,"to reach, to make it somehow"
辿る,"to follow (road, to pursue (course), to follow up"
束ねる,"to tie up in a bundle, to control"
だぶだぶ,"loose, baggy"
他方,"another side, on the other hand"
多忙,busy
給う,"to receive, to grant"
魂,"soul, spirit"
溜まり,"collected things, gathering place, arrears"
賜る,"to grant, to bestow"
保つ,"to keep, to preserve, to sustain"
たやすい,"easy, simple, light"
多様,"diversity, variety"
だるい,"sluggish, feel heavy (tired), languid"
弛み,"slack, slackening"
弛む,"to slacken, to loosen, to relax"
垂れる,"to hang, to droop; to drip"
タレント,"talent, star, personality"
タワー,tower
単一,"single, simple, sole"
短歌,31-syllable Japanese poem
担架,"stretcher, litter"
短気,quick temper
団結,"unity, union, solidarity"
探検,"exploration, expedition"
断言,"assertion, declaration, affirmation"
短縮,"shortening, abbreviation, reduction"
断然,"firmly, absolutely, definitely"
炭素,carbon (C)
短大,junior college
単調,"monotony, monotone, dullness"
単独,"sole, single"
旦那,"master (of house), husband (informal)"
短波,short wave
蛋白質,protein
ダンプ,dump truck
断面,cross section
弾力,"elasticity, flexibility"
治安,"public order, security"
チームワーク,teamwork
チェンジ,change
違える,to change
畜産,animal husbandry
畜生,"beast, brute, damn"
蓄積,"accumulation, accumulate, store"
地形,"landform, geographical features, topography"
知性,intelligence
乳,"milk, breast, loop"
縮まる,"to be shortened, to be contracted, to shrink"
秩序,"order, regularity"
窒息,suffocation
知的,intellectual
着手,"embarkation, launch"
着色,"coloring, coloring"
着席,"sit down, seat"
着目,attention
着陸,"landing, touch down"
着工,start of (construction) work
茶の間,living room (Japanese style)
茶の湯,tea ceremony
ちやほや,"pamper, make a fuss of, spoil"
チャンネル,a channel
宙返り,"somersault, looping-the-loop"
中継,"relay, hook-up"
忠告,"advice, warning"
中傷,"slander, libel, defamation"
中枢,"center, mainstay, nucleus"
抽選,"lottery, raffle, drawing (of lots)"
中断,"interruption, suspension, break"
中毒,poisoning
中腹,"mountain side, halfway up"
中立,neutrality
中和,"neutralize, counteract"
～著,written by ~
腸,"bowels, intestines"
蝶,butterfly
超,"super-, ultra-, hyper-"
調印,"signature, sign, sealing"
聴覚,the sense of hearing
長官,"chief, (government) secretary"
聴講,"lecture attendance, auditing"
徴収,"collection, levy"
聴診器,stethoscope
調停,"arbitration, conciliation, mediation"
重複,"duplication, repetition, overlapping, redundancy, restoration"
長編,"long (e.g., novel, film)"
重宝,"convenient, useful"
調理,cooking
調和,harmony
ちょくちょく,"often, frequently, now and then, occasionally"
直面,confrontation
著書,"literary work, book"
貯蓄,savings
直感,"intuition, instinct"
著名,"well-known, noted, celebrated"
ちらっと,"at a glance, by accident"
塵,"dust, dirt"
塵取り,dustpan
賃金,wages
沈殿,"precipitation, deposition, settlement"
沈没,"sinking, foundering"
沈黙,"silence, reticence"
陳列,"exhibition, display, show"
追及,"investigation, inquiry"
追跡,pursuit
追放,"exile, banishment"
費やす,"to spend, to devote, to waste"
墜落,"falling, crashing"
痛感,"feeling keenly, fully realizing"
通常,"common, normal, usual"
痛切,"keen, deep"
杖,cane
使い道,use
仕える,"to serve, to work for"
司る,"to rule, to govern, to administer"
つかの間,"moment, brief time,"
月並,"conventional, trite, common"
継目,"joint, seam"
尽きる,"to be used up, to be run out"
尽くす,"to exhaust, to run out; to devote, to serve"
つくづく,"completely, really"
作り,"make up, structure, physique"
造り,"make up, structure, physique"
繕う,"to mend, to repair"
付け加える,to add one thing to another
告げる,to inform
つじつま (はなしの～),"coherence, consistency"
筒,"pipe, tube"
突く,"to thrust, to strike, to attack; to poke, to nudge, to pick at"
突っ突く,to prompt someone
謹む,"to be careful, to be chaste or discreet"
突っ張る,"to support, to become stiff; to thrust (ones opponent), to stick to (ones opinion), to insist on"
務まる,"be equal, be fit"
勤め先,place of work
努めて,"make an effort!, work hard!"
津波,"tsunami, tidal wave"
つねる,to pinch
角,horn
募る,"to invite, to solicit help, participation, etc"
唾,"saliva, spit, sputum"
呟く,"to mutter, to murmur"
つぶら,"round, rotund"
つぶる (めを～),to close the eyes
